codfornec,nome,nomefantasia,bairro,cep,campolivre1,campolivre2,cgccpf,codcidade,codtipo,contacx,contato,ctctbred,endereco,estado,fax,fone,inscest,observacao,pessoa_fj,homepage,email,ativo,codcliente,celular,inscmunicipal,codmunicipio,tipofornece,comissao,complemento,numero,optantesimples,identificacao,caracteristica_tributaria,detalhe_regime,regimetributario
000384,LS DISTRIBUIDORA DE PRESILHAS E GRAMPOS AUTOMOTIVO,LS DISTRIBUIDORA,CENTRO,48970974,,,07945350000170,02194,003,,,,RUA SEBASTIO DE QUEIROZ,BA,,,52258765,,J,,,S,,74981089041,,,6,0,,122,,0,99,99,99
000385,JUNTALIMA IND E COM DE AUTOPEAS LTDA EPP,JUNTALIMA,MOINHI VELHO,02960000,,,72690431000138,03827,002,,1134889696,,RUA JOO CORDEIRO,SP,,1134889696,113830620116,"Desconto aplicado data -  02/03/2021 :

HESPECIAL 50% - IPI ZERO - PRAZO : 30/60/90 - DESCONTO MXIMO DE 74,18% -
O ESPECIAL 100% PARA ALGUNS ITENS
por conta do lanamento da nova loja, conseguimos para estes pedidos um prazo diferenciado de 60/75/90",J,,vendas@juntalima.com.br,S,01015174,,,,2,0,,478,,0,99,99,99
000386,PRATIKA DISTRIB DE EQUIPAMENTOS AUTOMOTIVOS EIRELI,TECHONE,CIA SUL,43700000,,,30548178000485,02201,,,,,BR 324 ACESSO II,BA,,40636336,170814372,"100% COM NOTA
REP: APARECIDA",J,,,S,,,,,,0,QUADRA2 LOTE 52 G1,178,,0,99,99,99
000387,BEZERRA & OLIV. COM. DE A. PECAS-L2,BEZERRA & OLIV. COM. DE A. PECAS-L2,CENTRO,60015061,,,07221070000461,00947,,,,,R. PRINCESA ISABEL,CE,,8540119777,069902844,,J,,,S,01011140,,,,,0,,1174,,0,99,99,99
000388,SUNS ACESSORIOS E PECAS PARA AUTOS LTDA,SUNS ACESSORIOS E PECAS PARA AUTOS LTDA,SITIO PINHEIRINHO,03210001,,,72800071000180,03827,,,,,RUA COSTA BARROS,SP,,1123183350,113805909116,,J,,,S,,,,,,0,,2300,,0,99,99,99
000389,(MA/PR) INTERNATIONAL PARTS SERVICE DO BRASIL LTDA,YOKOMITSU,BOQUEIRO,81610090,,,13180109000108,04003,,,,,R. IRMA MARIA LUCIA ROLAND,PR,,4130864388,9055350997,,J,,,S,01008972,,,,,0,,271,,0,99,-1,-1
000390,CECCARELLI INDUSTRIA DE AUTOPECAS LTDA. EPP,CECCARELLI INDUSTRIA DE AUTOPECAS LTDA.,VILA GALVAO,07074000,,,61609418000195,03477,,,,,AV. PEDRO DE SOUZA LOPES,SP,,1124214022,336371711111,,J,,,S,,,,,,0,,802,,0,99,99,99
000391,AFA PLASTICOS EIRELI,AFA PLASTICOS EIRELI,FUNDACAO,09520610,,,61578183000464,03810,,,,,RUA 28 DE JULHO,SP,,551142214466,636079330110,,J,,,S,,,,,,0,,329,,0,99,99,99
000392,MHT IND. COM. DE COMP. AUTOM. LTDA,AMPRI,VILA ENDRES,07042000,,,05974461000189,03477,,,,,AV ROTARY,SP,,1124224899,336723548119,,J,,,S,,,,,,0,,1012,,0,99,99,99
000393,EMBREPAR AUTOMOTIVA LTDA,EMBREPAR AUTOMOTIVA LTDA,PORTO SECO PIRAJA,41233010,,,08435684000409,02160,,,,,RUA DOUTOR ALTINO TEIXEIRA,BA,,7134833300,171081366,,J,,,S,,,,,,0,,235,,0,99,99,99
000394,DITA AUTOMOTIVE AUTO PEAS - EIRELI,DITA AUTOMOTIVE AUTO PEAS - EIRELI,VILA BERTIOGA,03185050,,,22722907000105,03827,,,,,RUA FLORIANOPOLIS,SP,,1138816200,144728757110,"RAFAEL 04/07/2022: 5+5+5% pra 21 dias e especial 20/80
REPRESENTANTE HERMERSON",J,,,S,01008567,,,,,0,,172,,0,99,99,99
000395,AMONTEIRO INDUSTRIA E COMERCIO DE BORRACHA,AMONTEIRO,SAO JOSE,,,,01473304000139,00987,,,,,AV. PE. CICERO,CE,,8835712814,90108436-0,,J,,,S,,,,,,0,,4311,,0,99,99,99
000396,NSG COMPONENTES AUTOMOTIVOS LTDA,GAUSS,TIMS,29161376,,,35091846000169,03164,,,,,AV. SETECENTOS,ES,,4130212300,083605240,VENDEDOR VISAC - NAO ESPECIAL - FRETE CIF,J,,,S,01011919,,,,,0,QUADRA 12 MODULOS 07,SN,,0,99,99,99
000397,"TAS COMERCIO, IMPORTACAO E EXPORTACAO DE AUTOPECAS","TAS COMERCIO, IMPORTACAO E EXPORTACAO DE",BAIRRO - BOM RETIRO,01130000,,,09414773000199,03827,,,,,RUA - ANHAIA,SP,,1138683872,148032669115,,J,,,S,,,,,,0,,1039,,0,99,99,99
000398,CBC DISTRIB ACESSORIOS EIRELI,CAMBUCI,CAMBUCI,01520010,,,24604230000128,03827,,,,,R BARAO DE JAGUARA,SP,,1130191060,140735475118,,J,,,S,,,,,,0,,836,,0,99,99,99
000400,GOOP DISTRIB AUTOMOTIVA LTDA,GOOP DISTRIB AUTOMOTIVA LTDA,VILA MARIA BAIXA,02118001,,,04919165000112,03827,,,,,R DOM LUIS FELIPE DE ORLEANS,SP,,1126341788,116322820119,,J,,,S,,,,,,0,,1122,,0,99,99,99
000401,VBM INDUSTRIA E COMECIO DE PEAS E ACESSRIOS EIRE,AVANTH,JARDIM SO JOO,08545000,,,18841050000167,03445,,,,,RUA HILDEBRANDO DA SILVEIRA,SP,,1146793812,305078376110,,J,,,S,,,,,,0,,149,,0,99,99,99
000402,IDB ATACADISTA DE MAT. CONSTRUO EIRELI,,SEDE,44330000,,,17471387000167,02183,003,,,,ROD.BA 502 SN,BA,,7530256400,106495113,,J,,,S,,,106495113,,5,0,,SN,,0,99,99,99
000403,CONTINENTAL INDCOM DE PECAS DE REPOSICAO AUTOMOTIV,ATE,INGHAI,06696000,,,07425860000205,03522,,,,,RODPRESCASTELO BRANCO KM32+3546M GLP E1ED1 TRREO,SP,,1141665069,373162129115,,J,,,S,,,,,,0,,2555,,0,99,99,99
000404,A S X AUTOMOTIVE LTDA - ME,A S X AUTOMOTIVE LTDA - ME,CENTRO,44001640,,,23113383000100,01955,,,,,RUA HONORATO BONFIM,BA,,7536039515,126834754,,J,,,S,,,,,,0,,592,,0,99,99,99
000405,BLAWER INDUSTRIA E COMERCIO EIRELI EPP,BLAWER INDUSTRIA E COMERCIO EIRELI EPP,JARDIM ORLANDINA,09632000,,,02452325000130,03809,,,,,R IDA LEONI CLETO,SP,,1143671528,635347225119,,J,,,S,,,,,,0,796,788,,0,99,99,99
000406,LOGISTICA E TRANSPORTE,,VILA NOVA BONSUCESSO,07176160,,,31079063000109,03477,009,,,,REMANSO,SP,,,,,J,,,S,,,,,1,0,,26,,0,99,99,99
000407,LUIZ AUTOPECAS COM. E REPRES. LTDA,LUIZ AUTOPECAS COM. E REPRES. LTDA,CENTRO,48904040,,,15649924000190,02042,,,,,RUA CASTRO ALVES,BA,,7436118165,010352072,,J,,,S,00000013,,,,,0,,2,,0,99,99,99
000408,SO PICK UP INDUSTRIAL AUTOMOTIVE LTDA,SO PICK UP INDUSTRIAL AUTOMOTIVE LTDA,R DESEMBARGADOR FELINTO BASTOS,44002748,,,11156808000260,01955,,,,,R DESEMBARGADOR FELINTO BASTOS,BA,,6236057812,152380470,,J,,,S,,,,,,0,SALA 104B,724,,0,99,99,99
000409,KOSTAL ELETROMECNICA LTDA.,KOSTAL ELETROMECNICA LTDA.,DISTRITO INDUSTRIAL,14140000,,,60852274000564,03410,,,,,RUA SIR WINSTON CHURCHILL,SP,,551621220022,279038109116,"RAFAEL 16.09.21: Icorauto Representaes, FRETE FOB, PRAZO DE 21 DIAS
DESC. 63+10+10+3+3+11,83%",J,,,S,,,,,,0,,1471,,0,99,99,99
000410,TRINK DIST PRODS AUTOMOTIVOS LTDA,TRINK DIST PRODS AUTOMOTIVOS LTDA,JD. ALVORADA,06612000,,,10717192000105,03548,,,,,VIA DE ACESSO JOAO DE GOES,SP,,1139345700,398115505115,,J,,,S,,,,,,0,C,1950/C,,0,99,99,99
000411,ALUMIFER ALUMINIO E FERRO LTDA,ALUMIFER,JOO XXIII,48900320,,,05515224002446,02042,003,0207002,,,LUIZ TARQUINIO,BA,,7436128707,75341058,,J,,,S,,,,,7,0,,0,,0,99,99,99
000412,CAMPEAO DO CIMENTO LTDA,CAMPEAO,CENTRO,48903680,,,14193335000188,02042,003,0207002,,,SANTOS DUMONT,BA,,7436112638,09892750,,J,,,S,,,,,7,0,,47,,0,99,99,99
000413,GERDAU ACO LONGOS SA,GERDAU,CAJUEIRO,48905350,,,07358761028250,02042,001,0207002,,,CAJUEIRO,BA,,7436123200,107836384,,J,,,S,,,,,6,0,,S/N,,0,99,99,99
000414,NORMEN IND. E COM. DE CONEXOES E MANG. EIRELI EPP,NORFLEX,ENGORDADOURO,13212790,,,01881662000180,03558,,,,,AV. DR. WADY BADRA,SP,,1145823623,407239350114,,J,,,S,,,,,,0,,96,,0,99,99,99
000415,RADQUIM PRODUTOS AUTOMOTIVOS EIRELI,RADNAQ,CIDADE INDUSTRIAL SATELITE DE,07222170,,,11145571000130,03477,,,,,RUA PREF. OLIVIER RAMOS NOGUEIRA,SP,,1124882200,336899380114,,J,,,S,,,,,,0,,575,,0,99,99,99
000416,JERONYMO DIX-NEUF PECAS E SERVICOS LTDA,JERONYMO DIX-NEUF PECAS E SERVICOS LTDA,JOAO XXIII,48900420,,,08378366000372,02042,,,,,RODOVIA LOMANTO JUNIOR BR 407 KM 04,BA,,7436117881,041068146,,J,,,S,00023017,,,,,0,,0,,0,99,99,99
000417,BARBOSA LIMA PEAS LTDA,OURO PEAS,ALTO DO CRUZEIRO,48900410,,,20750214000192,02042,008,,,,RODOVIA LOMANTO JUNIOR,BA,,7436116284,118503877,,J,,,S,00018115,,,,1,0,,1,,0,99,99,99
000418,JOAO GUILHERME SERAFIM NEVES EIRELI,COMAPA,ALTO DA MARAVILHA,48900419,,,34642424000171,02042,003,0207002,,,TRAVESSA PRESIDENTE TANCREDO NEVES,BA,,7436136706,160767790,,J,,,S,,,,,,0,,S/N,,0,99,99,99
000419,CHAVEIRO AUTOPORTAS E EQUIPADORA BAHIA,,ALTO DO CRUZEIRO,48905229,,,25373694000133,02042,010,0207003,7436113806,,AV. JOAO DURVAL CARNEIRO,BA,,,134465656,,J,,bahiaautomotivo@gmail.com,S,,,,,6,0,,04,,0,99,99,99
000420,ARCELORMITTAL BRASIL S.A.,,DISTRITO INDUSTRIAL,48909781,,,17469701013821,01863,001,,7436125070,,ROD BA 210,BA,,7436125070,102067761,,J,,,S,,,,,1,0,SETOR 10,10,,0,99,99,99
000421,MASKATE DIST DE PRODUTOS DE PAPELARIA E ARM LTDA,MASKATE DIST DE PRODUTOS DE PAPELARIA E,CENTRO,44010230,,,73693665000100,01955,,,,,AV SENHOR DOS PASSOS N 1337,BA,,7521018888,38205516,,J,,,S,,,,,,0,,*,,0,99,99,99
000422,FEK IND.COM.DE COMP.ELETRICOS EIRELI-ME,FEK IND.COM.DE COMP.ELETRICOS EIRELI-ME,DISTRITO INDUSTRIAL,15410000,,,17741336000108,03370,,,,,RUA NATALINO ALVES DE OLIVEIRA,SP,,1732813548,242009382113,,J,,,S,,,,,,0,,2041,,0,99,99,99
000423,OURO PEAS,,CENTRO,02657414,,,03522011000120,01588,008,,,,AV SETE DE SETEMBRO,PE,,8738635711,026574144,,J,,,S,00000068,,,,1,0,,209,,0,99,99,99
000424,INDUSTRIA METALURGICA PROMETEC LTDA,INDUSTRIA METALURGICA PROMETEC LTDA,INAMAR,09970310,,,32239806000123,03417,,,,,R TIGUASSU,SP,,11992629127,286524380113,,J,,,S,,,,,,0,,85,,0,99,99,99
000425,JERONYMO DIX-NEUF PECAS E SERVICOS LTDA,JERONYMO DIX-NEUF PECAS E SERVICOS LTDA,JOSE E MARIA,56320000,,,08378366000291,01588,,,,,AV.SETE DE SETEMBRO,PE,,8738642300,001340310,,J,,,S,00000059,,,,,0,,116,,0,99,99,99
000426,PEGASUS COM IMP E EXP DE ELET E EQUIPAMENTOS LTDA,PEGASUS COM IMP E EXP DE ELET E EQUIPAME,SAO DIMAS,13416030,,,08665859000121,03698,,,,,"RUA AJUDANTE ALBANO,898 - PAVMTOTERREO",SP,,34360619,535804183113,,J,,,S,,,,,,0,,898,,0,99,99,99
000427,SERAUTO PLASTICOS LTDA,SERAUTO PLASTICOS LTDA,VL. SAO VICENTE,02733110,,,10526841000190,03827,,,,,R. IZABEL VELHO,SP,,1126598084,148424799112,,J,,,S,,,,,,0,,301A309,,0,99,99,99
000428,PNEUBRAS COMERCIO DE PNEUS LTDA,PNEUBRAS COMERCIO DE PNEUS LTDA,DOM MALAN,56328680,,,08678386003546,01588,,,,,AVENIDA SETE DE SETEMBRO,PE,,8133664260,085101990,,J,,,S,,,,,,0,,620,,0,99,99,99
000429,FIPPARTS INDUSTRIA E COMERCIO DE ARTEFATOS DE PLAS,FIPPARTS INDUSTRIA E COMERCIO DE ARTEFAT,LOTEAMENTO INDUSTRIAL CORAL,09370800,,,31974489000126,03827,,,,,AVENIDA PAPA JOAO XXIII,SP,,1145436644,442413050113,,J,,,S,,,,,,0,A,2719,,0,99,99,99
000430,JUNCAO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,,JARDIM AMAZONAS,53318510,,,17304095000300,01588,003,0207002,8738667300,,RUA GEOVAH BARBOSA,PE,,,051166437,,J,,,S,,,,,1,0,,88,,0,99,99,99
000431,CRISTIANO DA SILVA SENA LIMITADA,CRISTIANO DA SILVA SENA LIMITADA,AREIA BRANCA,56328570,,,37176618000117,01588,,,,,RUA CABO COBRINHA,PE,,8738675452,088783740,,J,,,S,,,,,,0,,382,,0,99,99,99
000432,DUNAX LUBRIFICANTES LTDA - BA - VAREJO,DULUB,NUCLEO CIS,44330000,,,05092901001570,01955,,,,,RUA NUCLEO CIS,BA,,,180764095,,J,,,S,01006861,,,,,0,LOTE 120 QD 01,SN,,0,99,99,99
000433,BS DISTRIBUIDORA DE PRESILHAS E GRAMPOS,,CENTRO,,,,40255265000155,02042,,,74981089041,,RUA SEBASTIO QUEIROZ,BA,,,174847067,,J,,,S,,74981089041,,,6,0,,122,,0,99,99,99
000434,BRYNK ENGATES E INDUSTRIA DE METAIS LTDA,BRYNK ENGATES E INDUSTRIA DE METAIS LTDA,CENTRO,25870000,,,42299223000141,03188,,,,,RUA REGINALDO MAIA,RJ,,2422542548,12107137,,J,,,S,,,,,,0,GALPAO F A2,600,,0,99,99,99
000435,MHT IND. COM. DE COMP. AUTOM. LTDA,AMPRI,VILA ENDRES,07043010,,,05974461000260,03477,,,,,RUA BRASILEIRA,SP,,1121477778,127044783115,,J,,,S,01013937,,,,,0,,359,,0,99,99,99
000436,ADACOPLAM AUTOPARTS COML INDL LTDA,ADACOPLAM AUTOPARTS COML INDL LTDA,VILA NOVA YORK,03480010,,,62188180000134,03827,,,,,RUA APARECIDA DE SAO MANOEL,SP,,27214042,112701231110,,J,,,S,,,,,,0,,105,,0,99,99,99
000437,PNEUBRAS COMERCIO DE PNEUS LTDA - MAT,PNEUBRAS COMERCIO DE PNEUS LTDA - MAT,PIEDADE,54400420,,,08678386000105,01550,,,,,RUA PROFESSOR HERCLIANO PIRES,PE,,8133664266,034846964,,J,,,S,,,,,,0,,213,,0,99,99,99
000438,SEGATI COMERCIO DE AUTO PECAS,KICTECH,CONJUNTO RESIDENCIAL BRANCA VI,87043160,,,09435719000120,04118,,,,,RUA RIO JACUI,PR,,4431235050,9088510728,VENDEDOR MEDEIROS - ESPECIAL 20X80 - FRETE FOB,J,,,S,,,,,,0,,063,,0,99,99,99
000439,ROLTBRAS INDUSTRIA DE PRODUTOS AUTOMOTIVOS EIRELI,ROLTBRAS INDUSTRIA DE PRODUTOS AUTOMOTIV,P. INDUSTRIAL,87207036,,,15383633000101,03985,,,,,RUA CARLOS ROBERTO ALVES,PR,,4436318298,9059271080,REPRESENTAO: FERREIRA,J,,,S,,,,,,0,FUNDOS,191,,0,99,99,99
000440,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,LIMOEIRO,44097324,,,40123469000132,01955,,,,,ROD ROD BR 116,BA,,001122487777,174415434,,J,,,S,,,,,,0,SETOR CIS,SN,,0,99,99,99
000441,BREMEN VEICULOS S/A - AFO,VOLKSWAGEN,MADALENA,50720100,,,16355380000389,01594,,,,,RUA JOAO IVO DA SILVA,PE,,8134477744,030052246,,J,,,S,,,,,6,0,BLOCO B,220,,0,99,99,99
000442,OCEAN INDUSTRIA E COMERCIO AUTOPECAS LTDA,BRASFREIOS,PARQUE SAO PEDRO,08586170,,,10773355000177,03477,,,,,RUA DO COBRE,SP,,1146487999,379180100110,,J,,,S,,,,,,0,SALA 304,40,,0,99,99,99
000443,SOARES GONCALVES COMERCIO E SERVICOS LTD,SOARES GONCALVES COMERCIO E SERVICOS LTD,CASTELO BRANCO,48904000,,,05188443000171,02042,,,,,AV. JOAO DURVAL CARNEIRO,BA,,7436130190,58044775,,J,,,S,,,,,,0,,50,,0,99,99,99
000444,CROSSMAN DO BRASIL LTDA,DEVIGILI,VILA NOVA,89237340,,,43646928000150,04445,,,,,RUA MARQUES DE MARICA,SC,,4799441414,261324330,,J,,,S,01011319,,,,,0,,55,,0,99,99,99
000445,FERREIRA AUTOPECAS,,ALTO DO CRUZEIRO,48900000,,,02781051000123,02042,010,,,,RODOVIA LOMANTO JJUNIOR,BA,,,,,J,,,S,00002200,,0000000000,,7,0,,23,,0,99,99,99
000446,NICHOLAS FRANCA SILVA 50900571845,MG MANGUEIRA,SERRARIA,09980150,,,43630333000107,03417,,,,,R JOSE BONIFACIO,SP,,988805881,286694141117,,J,,,S,,,,,,0,,1.740,,0,99,99,99
000447,THOR AUTO IMPORTACAO E EXPORTACAO LTDA,ELETRICWAY,JARDIM SANTA FRANCISCA,07034040,,,42169784000126,03477,,,,,RUA PAULO STEOLA,SP,,1124312111,127386815112,,J,,,S,01013562,,,,1,0,"GALPAO 4,5 E 6",150,,0,99,99,99
000448,SALGUEIRO EXTINTORES LTDA ME,SALGUEIRO EXTINTORES,NOSSA SENHORA APARECIDA,56000000,,,20246287000141,01600,003,0207002,,,RUA POETA LEVINO NETO,PE,,87988563395,057669740,,J,,a@hotmail.com,S,,,,,1,0,,1204,,0,99,99,99
000449,THUNDER EXCEEDS INDUSTRIAL LTDA,SKIP,VILA NILO,02279000,,,42886385000186,03827,,,,,RUA ABILIO PEDRO RAMOS,SP,,1123378669,131657475114,,J,,,S,,,,,,0,GALPAO 1,656,,0,99,99,99
000450,JNF COMERCIO DE AUTO PECAS EIRELI,CAMBUCI,CAMBUCI,01520010,,,24709343000350,03827,,,,,RUA BARAO DE JAGUARA,SP,,1130191060,130125771111,,J,,,S,,,,,,0,,836,,0,99,-1,-1
000451,METALURGICA RIOSULENSE SA,RIOSULENSE,BARRA DO TROMBUDO,89164910,,,85778074000106,04525,,,,,RUA EMILIO ADAMI,SC,,4735314000,250119196,NO TEM ESPECIAL,J,,,S,01015236,,,,,0,,700,,0,99,-1,-1
000452,RIOSULENSE SA,,BARRA DO TROMBUDO,86160000,,,01610798003929,04345,,,,,RUA EMILIO ADAMI,SC,,,250119196,,J,,,S,03000008,,17308,,,0,,700,,0,99,-1,-1
000453,WLS PNEUMATICOS E MOTO PARTES INDUSTRIA,WLS PNEUMATICOS E MOTO PARTES INDUSTRIA,PQ IND. JUVENAL LEIT,13977000,,,01091641000838,03523,,,,,RUA FRANZ JOSEPH GILL,SP,,001120662000,374101898110,,J,,,S,,,,,,0,,105,,0,99,99,99
000454,TRANSPEAS TRANPORTES ESPECIALIZADO DE CARGAS,,CIDADE INDUSTRIAL SATLIT,07223040,,,41247891000243,03477,009,,,,BICAS,SP,,1124111998,796292370118,,J,,,S,,,,,,0,,78,,0,99,99,99
000455,START INDUSTRIA E DISTRIBUIDORA DE PECAS AUTOMOTIV,BRASFREIOS,JARDIM SILVESTRE,08584420,,,11107391000164,03529,,,,,RUA CANA VERDE,SP,,1146488596,379183703112,,J,,,S,,,,,,0,,85,,0,99,99,99
000456,UNIAO,UNIAO,4444,,,,,01998,010,,,,4444,BA,,,,SEM FORNECEDORES,J,,,S,,,,,7,0,,4444,,0,99,99,99
000457,CLASSE A COM. IMP E EXP DE AUTOPECAS LTD,PAMO,CAMBUCI,01522030,,,11844985000158,03827,,,,,RUA DOS PESCADORES,SP,,1132082493,147147009113,NO TEM ESPECIAL,J,,,S,,,,,,0,,195,,0,99,99,99
000458,DELTA COMERCIO DE DERIVADOS DE PETROLEO LTDA-EPP,DELTA COMERCIO DE DERIVADOS DE PETROLEO,GERCINO COELHO,56308000,,,16515054000120,01588,,,,,"AV. CEL. ANTONIO HONORATO VIANA, 79",PE,,8738620558,049338269,,J,,,S,00025198,,,,,0,,79,,0,99,99,99
000459,FIORI VEICOLO S/A,FIORI VEICOLO S/A,SANTA MONICA,44078015,,,35715234002496,01955,,,,,AVENIDA EDUARDO FROES DA MOTA,BA,,8140204050,122661921,,J,,,S,,,,,,0,PARTE A,2697,,0,99,99,99
000460,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,NOVA GOIANA,55900000,,,16701716003686,01531,,,,,ROD. BR-101 NORTE,PE,,00008136164011,053213106,,J,,,S,,,,,,0,,KM 13 A 15,,0,99,99,99
000461,KASATECH PROVEDOR DE INTERNET LTDA,KASATECH PROVEDOR DE INTERNET LTDA,CENTRO,48903465,,,08850047000156,02042,,,,,TRAVESSA LAURO DE FREITAS,BA,,7436149650,074120611,,J,,,S,01001634,,,,,0,,64,,0,99,99,99
000462,BAHIA CENTRO AUTOMOTIVO PECAS E ACESSORIOS EIRELI,BAHIA CENTRO AUTOMOTIVO PECAS E ACESSORI,ALTO DO CRUZEIRO,48905229,,,33866352000183,02042,,,,,AVENIDA JOAO DURVAL CARNEIRO,BA,,7436113806,158695312,,J,,,S,00019671,,,,,0,,.,,0,99,99,99
000463,LANI DISTRIBUIDORA DE AUTO PECAS LTDA,MF MANGUEIRAS,VILA FELIX,18500000,,,43599153000100,03563,,,,,RUA DUQUE DE CAXIAS,SP,,,412055077111,,J,,,S,,,,,,0,BOX C E D,707,,0,99,99,99
000464,MARCON IND. COM. PLASTICOS LTDA,MARCON IND. COM. PLASTICOS LTDA,CITY JARAGUA,02992210,,,74576810000127,03827,,,,,ESTRADA DO CORREDOR,SP,,1139769786,114025483111,,J,,,S,,,,,,0,,300,,0,99,99,99
000465,SERTAO SERVICO DE COMUNICACAO MULTIMIDIA EIRELI,SERTAO SERVICO DE COMUNICACAO MULTIMIDIA,SAO GONCALO,56312385,,,30705591000244,01588,,,,,AVENIDA PROFESSOR SIMAO AMORIM DURANDO,PE,,7436149650,083989846,,J,,,S,,,,,,0,,61,,0,99,99,99
000466,ARCELORMITTAL BRASIL S.A.,ARCELORMITTAL BRASIL S.A.,JOSE E MARIA,56320000,,,17469701027881,01588,,,,,AVENIDA SETE DE SETEMBRO,PE,,8738645420,091487285,,J,,,S,,,,,,0,QUADRA A,10,,0,99,99,99
000467,JESSICA NATALIA SANTOS ALVES ME,JESSICA NATALIA SANTOS ALVES ME,CASTELO BRANCO,48907090,,,11780993000188,02042,,,,,RUA A,BA,,8736110173,86568683,,J,,,S,,,,,,0,,SN,,0,99,99,99
000468,CONDOMINIO ASSUNO DE MARIA,CONDOMINIO ASSUNO DE MARIA,PEDRA DO LORD,48901340,,,14790409000163,02042,,,749883712,,SEBASTIAO ALMEIDA BRANCO,BA,,,,,J,,,S,01012691,,1,,6,0,,14,,0,99,99,99
000469,SERVIO DE GUA E SANEAMENTO AMBIENTAL,SAAE,CENTRO,48903440,,,63386494000104,02042,,,,,BARAO DE COTEGIPE,BA,,,,,J,,,S,,,1,,6,0,,SN,,0,99,99,99
000470,ORBI QUIMICA S/A,ORBI QUIMICA S/A,PARQUE NASCENTE DO RIO CAPIVAR,42800970,,,07704914000344,01895,,,,,RUA DOM PEDRO I,BA,,7140097262,123648510,,J,,,S,,,,,,0,QUADRA 002 LT C P2,SN,,0,99,99,99
000471,SEBASTIAO CARIRI LOPES EPP,SEBASTIAO CARIRI LOPES EPP,TROCA SO 7 DIAS,56380000,,,35395532000150,01607,,,,,AV. PLANALTO,PE,,8738691182,016441656,,J,,,S,00000672,,,,,0,,32,,0,99,99,99
000472,APL COMERCIAL DE PNEUS LTDA EP,APL COMERCIAL DE PNEUS LTDA EP,OURO PRETO,56318000,,,03462359000179,01588,,,,,AVENIDA SETE DE SETEMBRO,PE,,8738632811,026433400,,J,,,S,00000069,,,,,0,,61,,0,99,99,99
000473,LUCICLEIDE D. CARVALHO,LUCICLEIDE D. CARVALHO,JARDIM SAO PAULO,56314550,,,26395024000180,01588,,,,,R VINTE E QUATRO,PE,,8799927754,069448175,,J,,,S,00001173,,,,,0,,226,,0,99,99,99
000474,SINDICATO,SINDICATO,CENTRO,48904170,,,,02042,,,,,VENEZA,BA,,,,,J,,,S,,,,,1,0,,SN,,0,99,99,99
000475,FSIST,FSIST,SALGADO FILHO,,,,25999504000198,02042,,,,,"RUA TENISSON RIBEIRO, 552",BA,,,,,J,,,S,,,,,1,0,,552,,0,99,99,99
000476,ISAPA IMPORTACAO E COMERCIO LTDA,ISAPA IMPORTACAO E COMERCIO LTDA,DISTRITO INDUSTRIAL,58320000,,,61327045000917,01301,,,,,RUA MANOEL CESAR DE MELO,PB,,551128236500,164014292,,J,,,S,01012269,,,,,0,GALPAO CB,SN,,0,99,-1,-1
000477,CONTA OI - BEZERRAS,CONTA OI - BEZERRAS,CENTRO,48903510,,,33000118008234,02042,,,,,GOES CALMON,BA,,,,,J,,,S,,,,,1,0,,SN,,0,99,99,99
000478,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELB,COELBA,JARDIM VITORIA,,,,15139629037861,02042,,,,,RUA CAMPOS SALES,BA,,,,,J,,,S,,,,,1,0,,14,,0,99,99,99
000479,FGTS - FUNDO DE GARANTIA DO TEMPO DE SERVIO,FGTS,S,,,,,05561,,,,,BRASIL,DF,,,,,J,,,S,,,,,1,0,,SN,,0,99,99,99
000480,POSTO DELTA,DELTA,GERCINO COELHO,56308000,,,13779134000102,01588,,,,,CORONEL ANTONIO HONORATO VIANA,PE,,,,,J,,,S,,,,,1,0,,79,,0,99,99,99
000481,COELBA,,JARDIM VITORIA,48900000,,,15139629000194,02042,,,,,"RUA CAMPOS SALES, 14 - JARDIM, VITRIA - BA",BA,,,,,J,,,S,,,,,1,0,,14,,0,99,99,99
000482,PRATIKA DISTRIB DE EQUIP AUTOMOTIVOS EIRELI,TECHONE,CAMINHO DAS ARVORES,41820021,,,30548178000809,02160,,,,,AVENIDA TANCREDO NEVES,BA,,40636336,185207467,,J,,,S,01013599,,,,,0,SALA 202,805,,0,99,99,99
000483,MORIPAR INDUSTRIA E COM. DE PEC. AUTOM. LTDA,MORIPAR INDUSTRIA E COM. DE PEC. AUTOM.,VILA MONTE BELO,08577600,,,02698461000105,03529,,,,,RUA MARCELINO FERNANDEZ,SP,,29878277,379221438110,,J,,,S,,,,,,0,,265,,0,99,99,99
000484,WORK MEDICINA,WORK MEDICINA,CENTRO,,,,02779233000160,01588,,,,,R. VALRIO PEREIRA,PE,,,,,J,,,S,,,,,1,0,,SN,,0,99,99,99
000485,CONCILTEC,CONCILTEC,JOS E MARIA,,,,,01588,,,,,R. RIO PARABA,PE,,,,,J,,,S,,,,,1,0,,SN,,0,99,99,99
